university,country,region,qs_rank,qs_rank_numeric,tier,kmeans_cluster_k3,pca_x,pca_y,word_count
Imperial College London,United Kingdom,Europe,2,2,Top,2,-0.21667819582602652,0.02002003025928229,4571
University of Oxford,United Kingdom,Europe,4,4,Top,0,-0.22811459443794874,-0.00689481982644707,1706
ETH Zurich,Switzerland,Europe,7,7,Top,0,-0.14563642686397135,0.3508380348984927,9219
Technical University of Munich,Germany,Europe,22,22,Top,0,-0.08165142974473931,0.1659999625302884,2714
Trinity College Dublin,Ireland,Europe,75,75,Top,2,-0.2576570675342819,-0.07678000616536426,2138
Utrecht University,Netherlands,Europe,103,103,Mid,0,-0.18507345214616763,0.20963894570012118,4213
University College Dublin,Ireland,Europe,118,118,Mid,2,-0.26712681207225997,-0.11665602073279498,1985
Stockholm University,Sweden,Europe,147,147,Mid,0,-0.11881545683307963,0.29400999053163,3378
University of Northampton,United Kingdom,Europe,1201-1400,1300,Lower,2,-0.23216021584264568,-0.08174495012904363,1671
University of Split,Croatia,Europe,1201-1400,1300,Lower,0,-0.044660268529138784,0.4087652305114331,14351
University of Hong Kong,Hong Kong,Asia,32,32,Top,1,0.400844991317732,-0.06486401253581996,426
Nanyang Technological University,Singapore,Asia,12,12,Top,2,-0.2095695710360451,-0.04384795506540888,1528
Hong Kong Polytechnic University,Hong Kong,Asia,57,57,Top,0,0.10961858260708486,-0.06592134161469121,2458
Seoul National University,South Korea,Asia,38,38,Top,0,-0.07652962684147759,-0.18465787366108274,315
Universiti Malaya,Malaysia,Asia,58,58,Top,0,-0.007164241226484271,-0.10214236571742093,1072
Nazarbayev University,Kazakhstan,Asia,201,201,Mid,0,-0.06212143113153736,0.38699281959583054,10393
Anna University,India,Asia,465,465,Mid,0,0.07992325250658894,0.29019168974305565,2134
Ben-Gurion University of the Negev,Israel,Asia,469,469,Mid,0,-0.00873852752580251,0.37746368011771186,16967
Anadolu University,Turkey,Asia,1401+,1500,Lower,0,0.11097156066633805,0.4623115665150404,8915
Atma Jaya Catholic University,Indonesia,Asia,1401+,1500,Lower,0,0.0936756523767339,0.25294078251687063,5000
University of Auckland,New Zealand,Australia/NZ,65,65,Top,2,-0.32065226393914775,-0.16680332125132546,3114
University of Queensland,Australia,Australia/NZ,42,42,Top,2,-0.34440567160297486,-0.13667917422197642,3495
University of Otago,New Zealand,Australia/NZ,197,197,Mid,0,-0.25470649552342467,-0.028779796194197033,7548
Deakin University,Australia,Australia/NZ,207,207,Mid,2,-0.3058900583932574,-0.1792148535475021,1898
University of Newcastle,Australia,Australia/NZ,227,227,Mid,2,-0.3078366519412536,-0.09310287024765856,4255
La Trobe University,Australia,Australia/NZ,233,233,Mid,2,-0.2844720507939418,-0.15397764714381432,2610
University of Canterbury,New Zealand,Australia/NZ,261,261,Mid,2,-0.13721858586083108,-0.21178803848401645,832
University of Waikato,New Zealand,Australia/NZ,281,281,Mid,0,-0.19637899790613414,-0.10205499651603711,1590
University of Tasmania,Australia,Australia/NZ,314,314,Mid,0,-0.2215525455246801,0.07046588381697928,7662
Murdoch University,Australia,Australia/NZ,423,423,Mid,2,-0.1272401675743455,-0.2861422410170355,330
Stanford University,USA,North America,3,3,Top,0,0.11199146804110967,-0.1815430018597495,291
Harvard University,USA,North America,5,5,Top,1,0.47182162757035484,0.04793000903768809,2556
University of Michigan,USA,North America,45,45,Top,1,0.281956782532996,-0.1653525254675708,183
University of Kansas,USA,North America,465,465,Mid,1,0.48777148003350246,-0.1909717781014313,249
Texas Tech University,USA,North America,731-740,735,Lower,1,0.5436160473494229,-0.03573857255198832,1086
MIT,USA,Americas+Africa,1,1,Top,0,0.2797429181174378,-0.09725281653774384,796
Princeton University,USA,Americas+Africa,24,24,Top,0,0.14500731890657922,-0.1313325487952608,626
University of Toronto,Canada,Americas+Africa,29,29,Top,1,0.4382156133084129,0.03700206084864346,1400
University of Cape Town,South Africa,Americas+Africa,150,150,Mid,1,0.41483464204838627,-0.03045230828420339,1838
University of Witwatersrand,South Africa,Americas+Africa,291,291,Mid,2,0.16303909325508306,-0.3153541566073374,73
Auburn University,USA,Americas+Africa,851-900,875,Lower,1,0.44008139644088795,-0.047654531320880905,1272
Miami University,USA,Americas+Africa,1201-1400,1300,Lower,0,0.06893837957294723,-0.07686616302526413,416
