label,Imperial London (2),Oxford (4),ETH Zurich (7),Technical Munich (22),Trinity Dublin (75),Utrecht University (103),Dublin (118),Stockholm University (147),Northampton (1201-1400),Split (1201-1400),Hong Kong (32),Nanyang Technological  (12),Hong Kong Polytechnic  (57),Seoul National Univers (38),Universiti Malaya (58),Nazarbayev University (201),Anna University (465),Ben-Gurion the Negev (469),Anadolu University (1401+),Atma Jaya Catholic Uni (1401+),Auckland (65),Queensland (42),Otago (197),Deakin University (207),Newcastle (227),La Trobe University (233),Canterbury (261),Waikato (281),Tasmania (314),Murdoch University (423),Stanford University (3),Harvard University (5),Michigan (45),Kansas (465),Texas Tech University (731-740),MIT (1),Princeton University (24),Toronto (29),Cape Town (150),Witwatersrand (291),Auburn University (851-900),Miami University (1201-1400)
Imperial London (2),1.0000000000000007,0.33397491875870094,0.41533539185830065,0.382778183856703,0.33947298409519505,0.334370950753397,0.3724779086776028,0.2853860310405933,0.3059243551769917,0.25580478717048094,0.07425152419599708,0.3726878901058771,0.2206855413845948,0.2060043118260149,0.18997045312437702,0.3698435125741097,0.2443926703506203,0.3054302330463284,0.21758625207766236,0.16659966602730353,0.3264621480682659,0.3486102043336898,0.2917908218977682,0.31941067061134043,0.36978278440320533,0.36737874595658687,0.1902250154462444,0.22855098990322692,0.35373822101078567,0.16488100446355922,0.1695310665072533,0.14564266818006094,0.08329103158430777,0.06683222157825318,0.10774233490005436,0.17635827643233853,0.22056738203624868,0.08983146899521391,0.13717152572415495,0.13642470681793273,0.132339644386594,0.17376065063087978
Oxford (4),0.33397491875870094,1.0000000000000009,0.328618629430026,0.2293919882082676,0.34747332764245764,0.33874376651656757,0.3319882932971183,0.2889411152976482,0.36689324592818257,0.2783794181759775,0.08820270682913432,0.30304188798873605,0.16757506266454486,0.17179006487837334,0.16030812944705192,0.33388175259099756,0.24545135178876082,0.29229699486154015,0.2278116770919455,0.17208648774387159,0.34385415540962444,0.3580366592274046,0.3598150211904518,0.32899817218393995,0.32681952181899065,0.3322115419521876,0.23944364278656807,0.30838657994285634,0.31696970176512285,0.1955950639359603,0.1424619205990304,0.13669405752123254,0.08594894594401598,0.057187386848269045,0.11013892284550186,0.08639579660306534,0.1568626267522061,0.12383679186432839,0.13375192291968824,0.0741400686574793,0.13927680981243004,0.15000687716048544
ETH Zurich (7),0.41533539185830065,0.328618629430026,1.0000000000000004,0.41201696716867536,0.32099915253066946,0.4353123695124865,0.3037874682518926,0.4518169009794662,0.30399212285089,0.40063945863712297,0.11424024264363589,0.30960729654530406,0.206867656607608,0.1752023240532522,0.17383894883229226,0.4621740433421701,0.30324895345859665,0.3951089873908252,0.33574230344567174,0.24890940690057245,0.283479830177043,0.3344573092915924,0.31450047080139104,0.29710124522293807,0.34542470046803153,0.3028286345050065,0.19735001656194584,0.23457112333250132,0.37190852197125235,0.1521262505820429,0.13991161516433614,0.2099213303199007,0.10360666722561024,0.0979633454260624,0.14048909535020737,0.17494347203989516,0.18438983814819077,0.1413533722062212,0.14308765016665334,0.0856611980376354,0.16683086069624034,0.17858824897099831
Technical Munich (22),0.382778183856703,0.2293919882082676,0.41201696716867536,0.9999999999999999,0.24644721776479517,0.28802339159583445,0.26803265525698694,0.3151712609145735,0.2170869618969109,0.24704652921755685,0.0866741799923945,0.2787170894572204,0.18458319710441323,0.1722569996676324,0.18008273753072335,0.34448658357972173,0.23584474067661113,0.2991317873050888,0.23572496451373573,0.188949234464144,0.2231780765966463,0.2601414428675002,0.22278576697921335,0.232655183681254,0.24896443113876474,0.2691810413277904,0.18252175909810847,0.18693338628220824,0.283705989424352,0.12978732484426542,0.1546646776962551,0.1492774646530396,0.08316626419887543,0.05559360573355441,0.10109614881516231,0.16082408706714732,0.18545369435625858,0.1004795305545467,0.11647715231492545,0.0665318312857549,0.1371637990268816,0.15616542340074863
Trinity Dublin (75),0.33947298409519505,0.34747332764245764,0.32099915253066946,0.24644721776479517,0.9999999999999996,0.3321428578412497,0.3978512999200093,0.2719087952474407,0.3531282705630771,0.2582299347700972,0.06555645524612308,0.29699740929481755,0.1480251135753634,0.17998098054429967,0.174676003291878,0.29869403732306693,0.19788345349562259,0.23245469073673095,0.20545980182574838,0.1459622068001335,0.323784682414402,0.3533674052171086,0.3175285975294637,0.3126018653798915,0.3581700843753618,0.3262575994867501,0.23538208307769878,0.249893550373691,0.33652129125018293,0.21689482843071112,0.12078651791331062,0.12436299145339441,0.06394407172921428,0.05135418995160682,0.08382935926268051,0.10420415789864795,0.12641503883573674,0.08498887103127889,0.11492765052586328,0.07843637279639878,0.13099578245989962,0.17609684766608336
Utrecht University (103),0.334370950753397,0.33874376651656757,0.4353123695124865,0.28802339159583445,0.3321428578412497,0.9999999999999999,0.3160744730101884,0.39808050448540305,0.329931223735424,0.3490632985550789,0.0982418517635787,0.2722981819856137,0.17805877089158983,0.17027409017439518,0.1632661421952396,0.37580725841723467,0.2597053186396673,0.32641089243435606,0.29850599718651977,0.22302642378413906,0.3174392921607811,0.3168103972603425,0.3009778909655353,0.306939607779503,0.338197372559797,0.2930918091680111,0.23871950243049417,0.23876426094508116,0.36245317813914457,0.21124869569489016,0.14425912388562553,0.18140577973355568,0.08033285272787015,0.07607231197522069,0.12284288388623439,0.11550788917927272,0.13994747155820092,0.1201839471523265,0.12302630837456628,0.06794227586027436,0.14306552698731306,0.163810456206942
Dublin (118),0.3724779086776028,0.3319882932971183,0.3037874682518926,0.26803265525698694,0.3978512999200093,0.3160744730101884,1.000000000000001,0.2685346998829024,0.3484210706961482,0.22907453885159787,0.0776802718258632,0.30270698186601064,0.16964376690397426,0.17368169201401812,0.17276591491806043,0.2963431367335288,0.20026801576115558,0.24956890236230533,0.18903874985974253,0.1560460789777217,0.3408496555801106,0.37231516171673024,0.3091740185125295,0.34874121534733254,0.3660710133373019,0.3397679633081011,0.22887379638100583,0.2523375124778903,0.32599652135045165,0.2000889007840715,0.145012016557227,0.11032535617490404,0.07788526467855417,0.06319058970595426,0.07635586188141474,0.11333477092345867,0.16471941968299825,0.08262880303631029,0.09501845292529054,0.08605090204679079,0.10970885388971288,0.17561922697702956
Stockholm University (147),0.2853860310405933,0.2889411152976482,0.4518169009794662,0.3151712609145735,0.2719087952474407,0.39808050448540305,0.2685346998829024,0.9999999999999977,0.2641107579481955,0.3171844493694072,0.09650028266363277,0.23881484155602178,0.14423499411488583,0.1403875620542312,0.13091103408315088,0.3530707420015019,0.25490040416213827,0.3102283960951454,0.28731798474030834,0.23249938545243057,0.2581120921655919,0.2632631387915838,0.25881428033051357,0.23289115338259206,0.25174977247506436,0.22398007052706542,0.18800726654428004,0.23081394324451898,0.3224907894613862,0.15137575654475244,0.13897649296466352,0.14531304109580523,0.08472953776819943,0.04691741773638911,0.08530471092493125,0.12124929456120263,0.166320098630269,0.10714657380318357,0.12288981408969947,0.05652747271165374,0.1276140753197991,0.13160279348786688
Northampton (1201-1400),0.3059243551769917,0.36689324592818257,0.30399212285089,0.2170869618969109,0.3531282705630771,0.329931223735424,0.3484210706961482,0.2641107579481955,1.000000000000001,0.27528276547818314,0.0987452867646631,0.25358563044655236,0.1365983652171742,0.15258143295448848,0.19838089363009315,0.3016699650969616,0.22216440988537653,0.24029422636666672,0.2098367564498947,0.17812764375460716,0.3319159814595275,0.3545491810390162,0.3491116327948512,0.3471508547920877,0.36202928195385414,0.3335509398808808,0.24430054971504414,0.26640080689618173,0.34369812130836014,0.25375327998066993,0.12868814079823027,0.13717428570708604,0.06422023545420621,0.07564988475787326,0.09844001973935279,0.10899698225269734,0.12538801952552525,0.11217773417005894,0.11238602588127583,0.07473815314171735,0.13975113356629512,0.17037872835686335
Split (1201-1400),0.25580478717048094,0.2783794181759775,0.40063945863712297,0.24704652921755685,0.2582299347700972,0.3490632985550789,0.22907453885159787,0.3171844493694072,0.27528276547818314,0.9999999999999994,0.12415508191198726,0.20671109459094472,0.16743815899289638,0.13105804100943771,0.15153270032458718,0.41934241277730055,0.31256052037917265,0.344160551274268,0.468909313035502,0.26222712755785854,0.2508381223372237,0.2689024237303308,0.2898750346532174,0.23092044097814599,0.2848626035893266,0.2503722168988648,0.17324316629569633,0.246229901648836,0.3236046601713353,0.14426995566305437,0.11268694412525608,0.18065339563019348,0.07356608639161011,0.08165323104897511,0.1411591453599031,0.10774369932958873,0.1020177988846945,0.16200897023444114,0.1537657376704302,0.04785494107250439,0.16688803453685785,0.14443567947207522
